Stock Name,Symbol
VIP CLOTHING LIMITED,VIPCLOTHNG-EQ
ALPA LABORATORIES LTD,ALPA-EQ
IFB INDUSTRIES LTD,IFBIND-EQ
OMAXE LIMITED,OMAXE-EQ
UDAYSHIVAKUMAR INFRA LTD,USK-EQ
ASIAN GRANITO IND. LTD.,ASIANTILES-EQ
CENTRAL BANK OF INDIA,CENTRALBK-EQ
SAHYADRI INDUSTRIES LTD,SAHYADRI-EQ
KDDL LIMITED,KDDL-EQ
IFCI LTD,IFCI-EQ
KPR MILL LTD.,KPRMILL-EQ
PURAVANKARA LIMITED,PURVA-EQ
CIE AUTOMOTIVE INDIA LTD,CIEINDIA-EQ
RESTAURANT BRAND ASIA LTD,RBA-EQ
NAGREEKA CAP & INFR.LTD,NAGREEKCAP-EQ
MOTILAL OSWAL FIN LTD,MOTILALOFS-EQ
INDOWIND ENERGY LTD,INDOWIND-EQ
MAGNUM VENTURES LTD.,MAGNUM-EQ
CSB BANK LIMITED,CSBBANK-EQ
SHIVA MILLS LIMITED,SHIVAMILLS-EQ
KAVERI SEED CO. LTD.,KSCL-EQ
POWER GRID CORP. LTD.,POWERGRID-EQ
CENTUM ELECTRONICS LTD,CENTUM-EQ
CONS. CONST. CONSORT LTD,CCCL-EQ
MANG.CHEM.FERT.LTD,MANGCHEFER-EQ
BAJAJ ELECT.LTD,BAJAJELEC-EQ
CERA SANITARYWARE LTD,CERA-EQ
DELTA CORP LIMITED,DELTACORP-EQ
AVALON TECHNOLOGIES LTD,AVALON-EQ
KOTAK PSU BANK,PSUBANK-EQ
BEML LAND ASSETS LIMITED,BLAL-EQ
RELIGARE ENTER. LTD.,RELIGARE-EQ
BARAK VALLEY CEM. LTD.,BVCL-EQ
ASTER DM HEALTHCARE LTD.,ASTERDM-EQ
ADANI PORT & SEZ LTD,ADANIPORTS-EQ
EDELWEISS FIN SERV LTD,EDELWEISS-EQ
THE INDIAN HOTELS CO. LTD,INDHOTEL-EQ
